run,type,problemsize,subproblemsize,threads,apptime,comptime,tasks
863,printf,10000,250,1,7.443123,6.911415,16000
864,oot,10000,1000,8,1.597906,1.061867,1000
865,printf,10000,1000,10,1.608566,1.075996,1000
866,printf,10000,1000,2,3.726606,3.194112,1000
867,void,10000,250,9,1.533262,1.001162,16000
868,printf,10000,500,9,1.590951,1.059078,4000
869,oot,10000,2000,2,3.816225,3.283756,250
87,empty,10000,250,15,1.547939,1.018280,16000
870,void,10000,2000,2,3.834404,3.302956,250
871,oot,10000,500,6,1.641832,1.105339,4000
872,printf,10000,500,3,2.641903,2.112029,4000
873,tikki,10000,500,10,1.651675,1.118412,4000
874,empty,10000,250,11,1.544983,1.010184,16000
875,scorep,10000,1000,16,1.607253,1.072645,1000
876,scorep,10000,500,14,1.615833,1.076946,4000
877,tikki,10000,500,1,7.950187,7.407164,4000
878,oot,10000,500,10,1.584259,1.052031,4000
879,scorep,10000,500,2,3.679080,3.143225,4000
88,scorep,10000,1000,4,2.133086,1.597837,1000
880,extrae,10000,500,5,1.827799,1.294961,4000
881,empty,10000,250,3,2.792119,2.259075,16000
882,oot,10000,2000,5,1.954866,1.426268,250
883,empty,10000,1000,5,1.847647,1.315747,1000
884,tikki,10000,1000,10,1.627717,1.096714,1000
885,scorep,10000,1000,13,1.609462,1.074893,1000
886,scorep,10000,1000,9,1.606319,1.069684,1000
887,printf,10000,1000,14,1.623764,1.091544,1000
888,printf,10000,2000,9,1.655282,1.122115,250
889,empty,10000,2000,9,1.655566,1.120523,250
89,empty,10000,250,6,1.646638,1.117784,16000
890,extrae,10000,250,7,1.613379,1.081094,16000
891,void,10000,500,13,1.611470,1.075692,4000
892,printf,10000,250,7,1.544228,1.009012,16000
893,printf,10000,2000,6,1.720215,1.187267,250
894,scorep,10000,1000,1,7.360685,6.827417,1000
895,void,10000,500,3,2.698315,2.167849,4000
896,printf,10000,1000,11,1.604685,1.071753,1000
897,void,10000,2000,4,2.196833,1.666444,250
898,oot,10000,2000,8,1.662445,1.130237,250
899,scorep,10000,1000,2,3.625966,3.086326,1000
9,tikki,10000,2000,4,2.234820,1.705608,250
90,printf,10000,250,6,1.659764,1.130074,16000
900,tikki,10000,1000,3,2.730204,2.195171,1000
901,extrae,10000,500,9,1.634258,1.102143,4000
902,extrae,10000,250,3,2.810349,2.275032,16000
903,oot,10000,2000,12,1.665158,1.132941,250
904,tikki,10000,2000,5,2.022048,1.486755,250
905,void,10000,1000,16,1.597604,1.063929,1000
906,empty,10000,250,15,1.548031,1.017771,16000
907,scorep,10000,250,1,6.413589,5.869734,16000
908,oot,10000,1000,2,3.740141,3.205136,1000
909,printf,10000,500,7,1.593695,1.059428,4000
