State, th3, TASK, 0.079432, 0.079813, 0.000381, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.079815, 0.080198, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.080201, 0.080586, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.080588, 0.081006, 0.000418, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.081009, 0.081410, 0.000401, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.081412, 0.081790, 0.000378, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.081792, 0.082170, 0.000378, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.082173, 0.082557, 0.000384, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.082561, 0.082944, 0.000384, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.082947, 0.083335, 0.000388, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.083339, 0.083560, 0.000221, 0.000000, lapack_dlarfb
State, th3, TASK, 0.083562, 0.083773, 0.000211, 0.000000, lapack_dlarfb
State, th3, TASK, 0.084045, 0.084308, 0.000263, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.084314, 0.084571, 0.000257, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.084576, 0.084872, 0.000296, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.084879, 0.085133, 0.000254, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.085139, 0.085396, 0.000257, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.085402, 0.085655, 0.000253, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.085662, 0.085974, 0.000312, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.085980, 0.086233, 0.000253, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.086240, 0.086528, 0.000288, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.086533, 0.086787, 0.000254, 0.000000, lapack_dtpqrt
State, th3, TASK, 0.086795, 0.087204, 0.000409, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.087206, 0.087595, 0.000389, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.087597, 0.087981, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.087983, 0.088365, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.088368, 0.088773, 0.000404, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.088775, 0.089161, 0.000386, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.089164, 0.089556, 0.000392, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.089557, 0.089940, 0.000382, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.089942, 0.090327, 0.000385, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.090330, 0.090713, 0.000383, 0.000000, lapack_dtpmqrt
State, th3, TASK, 0.090716, 0.091101, 0.000385, 0.000000, lapack_dtpmqrt
