State, th9, TASK, 0.167257, 0.168000, 0.000743, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.168004, 0.168750, 0.000746, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.168754, 0.169504, 0.000750, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.169509, 0.169929, 0.000419, 0.000000, lapack_dlarfb
State, th9, TASK, 0.169938, 0.170362, 0.000423, 0.000000, lapack_dlarfb
State, th9, TASK, 0.170521, 0.171295, 0.000773, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.171332, 0.172090, 0.000758, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.172093, 0.172839, 0.000745, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.172842, 0.173589, 0.000747, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.173592, 0.174345, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.174348, 0.175099, 0.000751, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.175103, 0.175848, 0.000745, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.175856, 0.176625, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.176628, 0.177388, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.177392, 0.178154, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.178158, 0.178928, 0.000770, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.178931, 0.179697, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.179700, 0.180463, 0.000763, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.180467, 0.181232, 0.000765, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.181235, 0.181999, 0.000764, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.182002, 0.182764, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.182767, 0.183536, 0.000769, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.183540, 0.184310, 0.000771, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.184314, 0.185082, 0.000768, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.185085, 0.185841, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.185844, 0.186615, 0.000771, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.186619, 0.187381, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.187385, 0.188142, 0.000758, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.188146, 0.188907, 0.000761, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.188910, 0.189676, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.189679, 0.190440, 0.000761, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.190485, 0.191252, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.191256, 0.192008, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.192011, 0.192760, 0.000749, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.192764, 0.193511, 0.000747, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.193514, 0.194260, 0.000746, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.194376, 0.195130, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.195134, 0.195877, 0.000743, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.195880, 0.196625, 0.000744, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.196628, 0.197371, 0.000743, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.197374, 0.198119, 0.000745, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.198122, 0.198869, 0.000747, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.198872, 0.199625, 0.000753, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.199630, 0.200378, 0.000748, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.200381, 0.201128, 0.000747, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.201131, 0.201875, 0.000744, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.201878, 0.202626, 0.000748, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.202630, 0.203387, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.203390, 0.204142, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.204146, 0.204901, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.204912, 0.205669, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.205685, 0.206432, 0.000746, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.206435, 0.207184, 0.000749, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.207187, 0.207943, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.207946, 0.208708, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.208712, 0.209473, 0.000762, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.209476, 0.210236, 0.000760, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.210239, 0.211009, 0.000770, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.211012, 0.211779, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.211782, 0.212548, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.212552, 0.213306, 0.000754, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.213309, 0.214063, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.214067, 0.214830, 0.000764, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.214834, 0.215601, 0.000767, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.215693, 0.216462, 0.000769, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.216465, 0.217220, 0.000754, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.217223, 0.217967, 0.000744, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.217971, 0.218715, 0.000744, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.218718, 0.219471, 0.000753, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.219475, 0.220222, 0.000747, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.220226, 0.220975, 0.000750, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.220979, 0.221731, 0.000752, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.221737, 0.222503, 0.000766, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.222507, 0.223271, 0.000764, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.223274, 0.224030, 0.000756, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.224034, 0.224792, 0.000757, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.224795, 0.225549, 0.000755, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.225554, 0.226304, 0.000750, 0.000000, lapack_dtpmqrt
State, th9, TASK, 0.226307, 0.227064, 0.000757, 0.000000, lapack_dtpmqrt
