timestamp, index, name, driver_version, utilization.gpu [%], memory.total [MiB], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.sm [MHz], clocks.current.memory [MHz]
2025/10/05 04:43:39.081, 0, NVIDIA GeForce RTX 4090, 545.23.08, 29 %, 24564 MiB, 22774 MiB, 105.84 W, 46, 2790 MHz, 2790 MHz, 10251 MHz
2025/10/05 04:43:39.132, 0, NVIDIA GeForce RTX 4090, 545.23.08, 29 %, 24564 MiB, 22774 MiB, 118.40 W, 46, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.182, 0, NVIDIA GeForce RTX 4090, 545.23.08, 77 %, 24564 MiB, 22774 MiB, 118.40 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.232, 0, NVIDIA GeForce RTX 4090, 545.23.08, 77 %, 24564 MiB, 22774 MiB, 119.12 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.283, 0, NVIDIA GeForce RTX 4090, 545.23.08, 77 %, 24564 MiB, 22774 MiB, 119.12 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.333, 0, NVIDIA GeForce RTX 4090, 545.23.08, 77 %, 24564 MiB, 22774 MiB, 119.12 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.383, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.12 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.434, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.07 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.484, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.07 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.534, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.08 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.584, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.08 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.635, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.10 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.685, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.10 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.735, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 119.17 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.786, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 119.17 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.836, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 119.07 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.886, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 119.07 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.936, 0, NVIDIA GeForce RTX 4090, 545.23.08, 4 %, 24564 MiB, 22774 MiB, 118.92 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:39.987, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 118.92 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.037, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 111.82 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.087, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 111.82 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.137, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 83.34 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.188, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 83.34 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.238, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 71.12 W, 49, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.288, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 71.12 W, 51, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.338, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 84.40 W, 51, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.389, 0, NVIDIA GeForce RTX 4090, 545.23.08, 44 %, 24564 MiB, 22774 MiB, 84.40 W, 49, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.439, 0, NVIDIA GeForce RTX 4090, 545.23.08, 44 %, 24564 MiB, 22774 MiB, 112.09 W, 47, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.489, 0, NVIDIA GeForce RTX 4090, 545.23.08, 44 %, 24564 MiB, 22774 MiB, 112.09 W, 46, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.539, 0, NVIDIA GeForce RTX 4090, 545.23.08, 44 %, 24564 MiB, 22774 MiB, 117.43 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.590, 0, NVIDIA GeForce RTX 4090, 545.23.08, 62 %, 24564 MiB, 22774 MiB, 117.43 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.640, 0, NVIDIA GeForce RTX 4090, 545.23.08, 62 %, 24564 MiB, 22774 MiB, 117.46 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.690, 0, NVIDIA GeForce RTX 4090, 545.23.08, 62 %, 24564 MiB, 22774 MiB, 117.46 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.740, 0, NVIDIA GeForce RTX 4090, 545.23.08, 62 %, 24564 MiB, 22774 MiB, 117.47 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.791, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.47 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.841, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.41 W, 45, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.891, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.41 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.941, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.42 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
2025/10/05 04:43:40.992, 0, NVIDIA GeForce RTX 4090, 545.23.08, 0 %, 24564 MiB, 22774 MiB, 117.42 W, 44, 2805 MHz, 2805 MHz, 10251 MHz
