timestamp,index,name,driver_version,utilization.gpu[],memory.total[],memory.used[],power.draw[],temperature.gpu,clocks.current.graphics[],clocks.current.sm[],clocks.current.memory[]
2025/10/0509:19:52.789,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.17,27,2580,2580,10251
2025/10/0509:19:52.839,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.12,27,2580,2580,10251
2025/10/0509:19:52.889,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.12,27,2580,2580,10251
2025/10/0509:19:52.939,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.09,27,2580,2580,10251
2025/10/0509:19:52.990,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.09,27,2580,2580,10251
2025/10/0509:19:53.040,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.06,27,2580,2580,10251
2025/10/0509:19:53.090,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.06,27,2580,2580,10251
2025/10/0509:19:53.140,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.04,27,2580,2580,10251
2025/10/0509:19:53.191,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.04,27,2580,2580,10251
2025/10/0509:19:53.241,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:53.291,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.01,27,2580,2580,10251
2025/10/0509:19:53.341,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.94,27,2580,2580,10251
2025/10/0509:19:53.392,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.94,27,2580,2580,10251
2025/10/0509:19:53.442,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:53.492,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,57.99,27,2580,2580,10251
2025/10/0509:19:53.542,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.05,27,2580,2580,10251
2025/10/0509:19:53.593,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.05,27,2580,2580,10251
2025/10/0509:19:53.643,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.10,27,2580,2580,10251
2025/10/0509:19:53.693,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.10,27,2580,2580,10251
2025/10/0509:19:53.743,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.09,27,2580,2580,10251
2025/10/0509:19:53.793,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.09,27,2580,2580,10251
2025/10/0509:19:53.844,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.15,27,2580,2580,10251
2025/10/0509:19:53.894,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.15,27,2580,2580,10251
2025/10/0509:19:53.944,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.25,27,2580,2580,10251
2025/10/0509:19:53.994,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.25,27,2580,2580,10251
2025/10/0509:19:54.045,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.35,27,2580,2580,10251
2025/10/0509:19:54.095,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.35,27,2580,2580,10251
2025/10/0509:19:54.145,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.43,27,2580,2580,10251
2025/10/0509:19:54.195,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.43,27,2580,2580,10251
2025/10/0509:19:54.245,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.54,27,2580,2580,10251
2025/10/0509:19:54.296,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.54,27,2580,2580,10251
2025/10/0509:19:54.346,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.54,27,2580,2580,10251
2025/10/0509:19:54.396,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.54,27,2580,2580,10251
2025/10/0509:19:54.446,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.57,27,2580,2580,10251
2025/10/0509:19:54.497,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.57,27,2580,2580,10251
2025/10/0509:19:54.547,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.44,27,2580,2580,10251
2025/10/0509:19:54.597,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.34,27,2580,2580,10251
2025/10/0509:19:54.649,0,NVIDIAGeForceRTX4090,545.23.08,0,24564,22736,58.34,27,2580,2580,10251
