State, th9, TASK, 0.259568, 0.260579, 0.001011, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.260613, 0.261590, 0.000977, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.261619, 0.262532, 0.000913, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.262547, 0.263493, 0.000946, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.263522, 0.264932, 0.001410, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.264972, 0.266002, 0.001030, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.266026, 0.266961, 0.000934, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.266993, 0.267968, 0.000975, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.268000, 0.268958, 0.000958, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.268982, 0.269940, 0.000959, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.269963, 0.270940, 0.000977, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.270972, 0.271950, 0.000978, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.271975, 0.272950, 0.000975, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.272979, 0.273978, 0.001000, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.274006, 0.274972, 0.000966, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.275050, 0.276049, 0.000999, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.276075, 0.276996, 0.000921, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.277050, 0.278005, 0.000955, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.278043, 0.279011, 0.000969, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.279034, 0.280014, 0.000981, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.280046, 0.281011, 0.000965, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.281042, 0.282015, 0.000973, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.282050, 0.283019, 0.000969, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.283056, 0.284014, 0.000958, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.284041, 0.284962, 0.000921, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.284991, 0.285934, 0.000943, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.285962, 0.286887, 0.000925, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.286913, 0.287848, 0.000935, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.287864, 0.288708, 0.000845, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.288725, 0.289581, 0.000855, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.289603, 0.290562, 0.000960, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.290596, 0.291584, 0.000988, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.291616, 0.293113, 0.001497, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.293164, 0.294193, 0.001029, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.294239, 0.295254, 0.001016, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.295285, 0.296266, 0.000981, 0.000000, gauss-seidel-smoothing-formula
State, th9, TASK, 0.296287, 0.297296, 0.001009, 0.000000, gauss-seidel-smoothing-formula
